iter	Passed	Remaining
0	31	31931
1	62	30953
2	96	32025
3	125	31264
4	152	30355
5	179	29699
6	206	29232
7	225	27987
8	254	28017
9	282	27978
10	316	28425
11	347	28630
12	373	28327
13	404	28460
14	426	27995
15	454	27944
16	477	27583
17	553	30191
18	589	30437
19	621	30465
20	649	30278
21	692	30773
22	739	31424
23	793	32274
24	838	32683
25	954	35740
26	1143	41220
27	1164	40428
28	1200	40180
29	1230	39798
30	1283	40123
31	1360	41145
32	1426	41809
33	1474	41901
34	1511	41679
35	1547	41439
36	1588	41348
37	1624	41122
38	1676	41307
39	1721	41308
40	1777	41565
41	1856	42346
42	1902	42336
43	1948	42344
44	1979	42005
45	2006	41604
46	2028	41134
47	2055	40774
48	2082	40409
49	2099	39892
50	2119	39430
51	2146	39126
52	2174	38859
53	2199	38539
54	2227	38275
55	2250	37932
56	2274	37625
57	2294	37267
58	2313	36903
59	2332	36541
60	2358	36312
61	2386	36106
62	2413	35902
63	2440	35692
64	2464	35446
65	2491	35258
66	2515	35033
67	2539	34810
68	2566	34628
69	2596	34491
70	2621	34305
71	2723	35098
72	2816	35763
73	2881	36060
74	2916	35968
75	2942	35775
76	2965	35552
77	2993	35381
78	3042	35467
79	3073	35348
80	3104	35220
81	3138	35133
82	3159	34901
83	3180	34677
84	3200	34454
85	3223	34259
86	3242	34023
87	3267	33861
88	3294	33720
89	3326	33630
90	3353	33496
91	3376	33325
92	3398	33140
93	3422	32991
94	3440	32773
95	3462	32601
96	3488	32471
97	3519	32398
98	3547	32288
99	3569	32127
100	3590	31956
101	3616	31841
102	3634	31650
103	3650	31448
104	3667	31260
105	3690	31122
106	3724	31086
107	3749	30971
108	3774	30855
109	3795	30710
110	3821	30602
111	3843	30470
112	3860	30301
113	3877	30139
114	3902	30030
115	3928	29938
116	3961	29900
117	3985	29793
118	4006	29663
119	4028	29543
120	4050	29425
121	4074	29320
122	4098	29221
123	4117	29088
124	4147	29031
125	4173	28950
126	4198	28860
127	4218	28740
128	4239	28626
129	4264	28536
130	4289	28457
131	4318	28398
132	4349	28350
133	4375	28276
134	4396	28168
135	4418	28070
136	4443	27993
137	4462	27877
138	4483	27771
139	4506	27680
140	4533	27617
141	4562	27569
142	4588	27498
143	4609	27398
144	4629	27300
145	4663	27279
146	4683	27178
147	4703	27076
148	4726	26993
149	4756	26953
150	4781	26881
151	4806	26816
152	4828	26730
153	4958	27241
154	5061	27594
155	5093	27554
156	5121	27498
157	5165	27527
158	5194	27476
159	5236	27494
160	5293	27587
161	5334	27592
162	5380	27629
163	5417	27616
164	5454	27602
165	5486	27567
166	5524	27555
167	5560	27536
168	5594	27509
169	5632	27501
170	5670	27488
171	5702	27453
172	5730	27393
173	5760	27346
174	5798	27337
175	5834	27316
176	5869	27290
177	5906	27276
178	5944	27266
179	5985	27265
180	6016	27225
181	6053	27209
182	6089	27186
183	6216	27567
184	6347	27962
185	6406	28034
186	6443	28012
187	6478	27982
188	6504	27909
189	6536	27864
190	6578	27861
191	6619	27857
192	6679	27929
193	6723	27932
194	6761	27912
195	6792	27864
196	6831	27845
197	6874	27845
198	6917	27842
199	6948	27793
200	6980	27747
201	7072	27940
202	7205	28290
203	7253	28302
204	7278	28227
205	7319	28212
206	7343	28130
207	7368	28058
208	7408	28038
209	7451	28031
210	7488	28001
211	7523	27963
212	7554	27911
213	7590	27879
214	7623	27834
215	7654	27781
216	7683	27724
217	7713	27669
218	7745	27622
219	7774	27563
220	7803	27506
221	7826	27429
222	7850	27352
223	7875	27283
224	7893	27187
225	7922	27133
226	7952	27082
227	7982	27027
228	8021	27006
229	8067	27007
230	8098	26961
231	8133	26924
232	8189	26957
233	8302	27178
234	8451	27511
235	8565	27729
236	8592	27662
237	8627	27623
238	8658	27570
239	8681	27491
240	8721	27467
241	8767	27460
242	8824	27489
243	8865	27467
244	8904	27439
245	8962	27469
246	8997	27430
247	9041	27417
248	9080	27386
249	9117	27352
250	9157	27327
251	9195	27295
252	9228	27247
253	9262	27202
254	9300	27171
255	9338	27139
256	9385	27134
257	9413	27072
258	9433	26989
259	9452	26904
260	9474	26827
261	9502	26767
262	9540	26736
263	9583	26718
264	9616	26671
265	9646	26617
266	9670	26549
267	9706	26512
268	9740	26470
269	9760	26388
270	9777	26302
271	9796	26219
272	9819	26150
273	9845	26085
274	9873	26029
275	9906	25986
276	9934	25930
277	9969	25890
278	10007	25860
279	10038	25812
280	10064	25751
281	10176	25910
282	10305	26108
283	10333	26052
284	10375	26029
285	10399	25963
286	10423	25894
287	10460	25861
288	10495	25821
289	10526	25772
290	10559	25727
291	10583	25660
292	10607	25594
293	10632	25533
294	10659	25474
295	10680	25403
296	10706	25342
297	10735	25289
298	10766	25242
299	10789	25174
300	10809	25102
301	10829	25028
302	10854	24969
303	10885	24921
304	10909	24859
305	10932	24795
306	10956	24731
307	10978	24664
308	10993	24584
309	11009	24505
310	11027	24429
311	11052	24373
312	11076	24310
313	11103	24257
314	11128	24199
315	11149	24132
316	11171	24069
317	11191	24002
318	11207	23926
319	11224	23852
320	11241	23778
321	11265	23720
322	11290	23665
323	11318	23614
324	11343	23558
325	11366	23499
326	11388	23439
327	11406	23368
328	11421	23293
329	11437	23222
330	11454	23151
331	11479	23096
332	11502	23039
333	11530	22991
334	11554	22935
335	11577	22879
336	11598	22818
337	11618	22755
338	11634	22686
339	11652	22618
340	11672	22558
341	11695	22501
342	11716	22442
343	11743	22395
344	11768	22343
345	11790	22286
346	11812	22229
347	11831	22166
348	11848	22101
349	11865	22036
350	11881	21969
351	11904	21914
352	11926	21858
353	11954	21815
354	11983	21772
355	12007	21721
356	12030	21668
357	12053	21615
358	12073	21557
359	12091	21495
360	12114	21444
361	12137	21391
362	12160	21339
363	12190	21299
364	12213	21247
365	12237	21197
366	12257	21142
367	12277	21085
368	12297	21028
369	12418	21144
370	12541	21263
371	12563	21209
372	12598	21177
373	12620	21124
374	12641	21068
375	12679	21042
376	12716	21014
377	12748	20978
378	12778	20937
379	12801	20886
380	12822	20832
381	12840	20773
382	12863	20722
383	12897	20689
384	12922	20643
385	12945	20591
386	12967	20540
387	12987	20485
388	13007	20430
389	13023	20369
390	13038	20308
391	13056	20251
392	13114	20255
393	13152	20229
394	13182	20190
395	13207	20144
396	13229	20093
397	13249	20040
398	13267	19984
399	13289	19934
400	13313	19886
401	13342	19848
402	13368	19804
403	13386	19748
404	13409	19700
405	13431	19651
406	13448	19594
407	13465	19538
408	13482	19481
409	13506	19435
410	13537	19399
411	13563	19357
412	13584	19307
413	13605	19257
414	13624	19206
415	13645	19156
416	13662	19101
417	13679	19046
418	13696	18992
419	13720	18947
420	13752	18913
421	13780	18874
422	13802	18827
423	13824	18780
424	13848	18736
425	13866	18684
426	13884	18631
427	13905	18584
428	13927	18537
429	13956	18499
430	13979	18455
431	14003	18411
432	14025	18365
433	14046	18319
434	14070	18275
435	14089	18225
436	14107	18174
437	14125	18124
438	14149	18081
439	14175	18041
440	14200	18000
441	14225	17958
442	14246	17912
443	14279	17881
444	14300	17834
445	14319	17786
446	14337	17737
447	14361	17694
448	14389	17658
449	14521	17748
450	14621	17798
451	14647	17758
452	14684	17731
453	14705	17685
454	14725	17637
455	14751	17598
456	14784	17566
457	14811	17527
458	14838	17488
459	14868	17454
460	14892	17412
461	14921	17375
462	14941	17330
463	14964	17286
464	14987	17243
465	15008	17198
466	15027	17151
467	15045	17102
468	15067	17059
469	15090	17016
470	15114	16975
471	15140	16937
472	15160	16890
473	15186	16852
474	15207	16807
475	15228	16764
476	15246	16717
477	15266	16671
478	15291	16632
479	15322	16599
480	15359	16572
481	15392	16542
482	15419	16504
483	15450	16471
484	15473	16430
485	15499	16392
486	15528	16357
487	15561	16326
488	15593	16294
489	15622	16260
490	15651	16224
491	15682	16192
492	15707	16153
493	15738	16120
494	15779	16098
495	15813	16068
496	15841	16032
497	15971	16099
498	16075	16140
499	16104	16104
500	16144	16080
501	16171	16042
502	16196	16003
503	16231	15973
504	16291	15968
505	16328	15941
506	16361	15909
507	16392	15876
508	16425	15845
509	16454	15809
510	16482	15772
511	16506	15732
512	16527	15689
513	16551	15649
514	16567	15602
515	16584	15555
516	16606	15514
517	16628	15472
518	16653	15434
519	16683	15399
520	16708	15361
521	16731	15321
522	16750	15277
523	16773	15237
524	16794	15195
525	16810	15148
526	16829	15104
527	16852	15064
